# llama3-8b-instruct: the per-tensor mixture llama.cpp produced for Q4_K_M.
#
# Generated from the shipped GGUF's tensor-info section; the file was quantized
# by llama.cpp, so these types are llama_tensor_get_type's real output.
# Tensors are listed in GGUF file (data-offset) order, which is the order the
# selector's running counters depend on.
#
# MODEL <label> <ftype> <arch> <n_layer> <n_head> <n_head_kv> <n_expert> <has_output>
# TENSOR <name> <n_dims> <ne0> <type>
MODEL llama3-8b-instruct Q4_K_M llama 32 32 8 0 true
TENSOR blk.5.attn_k.weight 2 4096 Q4_K
TENSOR blk.5.attn_output.weight 2 4096 Q4_K
TENSOR blk.5.attn_q.weight 2 4096 Q4_K
TENSOR blk.5.attn_v.weight 2 4096 Q4_K
TENSOR blk.6.attn_norm.weight 1 4096 F32
TENSOR blk.6.ffn_down.weight 2 14336 Q6_K
TENSOR blk.6.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.6.ffn_up.weight 2 4096 Q4_K
TENSOR blk.6.ffn_norm.weight 1 4096 F32
TENSOR blk.6.attn_k.weight 2 4096 Q4_K
TENSOR blk.6.attn_output.weight 2 4096 Q4_K
TENSOR blk.6.attn_q.weight 2 4096 Q4_K
TENSOR blk.6.attn_v.weight 2 4096 Q6_K
TENSOR blk.7.attn_norm.weight 1 4096 F32
TENSOR blk.7.ffn_down.weight 2 14336 Q4_K
TENSOR blk.7.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.7.ffn_up.weight 2 4096 Q4_K
TENSOR blk.7.ffn_norm.weight 1 4096 F32
TENSOR blk.7.attn_k.weight 2 4096 Q4_K
TENSOR blk.7.attn_output.weight 2 4096 Q4_K
TENSOR blk.7.attn_q.weight 2 4096 Q4_K
TENSOR blk.7.attn_v.weight 2 4096 Q4_K
TENSOR blk.8.attn_norm.weight 1 4096 F32
TENSOR blk.8.ffn_down.weight 2 14336 Q4_K
TENSOR blk.8.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.8.ffn_up.weight 2 4096 Q4_K
TENSOR blk.8.ffn_norm.weight 1 4096 F32
TENSOR blk.8.attn_k.weight 2 4096 Q4_K
TENSOR blk.8.attn_output.weight 2 4096 Q4_K
TENSOR blk.8.attn_q.weight 2 4096 Q4_K
TENSOR blk.8.attn_v.weight 2 4096 Q4_K
TENSOR blk.10.attn_norm.weight 1 4096 F32
TENSOR blk.10.ffn_down.weight 2 14336 Q6_K
TENSOR blk.10.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.10.ffn_up.weight 2 4096 Q4_K
TENSOR blk.10.ffn_norm.weight 1 4096 F32
TENSOR blk.10.attn_k.weight 2 4096 Q4_K
TENSOR blk.10.attn_output.weight 2 4096 Q4_K
TENSOR blk.10.attn_q.weight 2 4096 Q4_K
TENSOR blk.10.attn_v.weight 2 4096 Q6_K
TENSOR blk.11.attn_norm.weight 1 4096 F32
TENSOR blk.11.ffn_down.weight 2 14336 Q4_K
TENSOR blk.11.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.11.ffn_up.weight 2 4096 Q4_K
TENSOR blk.11.ffn_norm.weight 1 4096 F32
TENSOR blk.11.attn_k.weight 2 4096 Q4_K
TENSOR blk.11.attn_output.weight 2 4096 Q4_K
TENSOR blk.11.attn_q.weight 2 4096 Q4_K
TENSOR blk.11.attn_v.weight 2 4096 Q4_K
TENSOR blk.12.attn_norm.weight 1 4096 F32
TENSOR blk.12.ffn_down.weight 2 14336 Q4_K
TENSOR blk.12.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.12.ffn_up.weight 2 4096 Q4_K
TENSOR blk.12.ffn_norm.weight 1 4096 F32
TENSOR blk.12.attn_k.weight 2 4096 Q4_K
TENSOR blk.12.attn_output.weight 2 4096 Q4_K
TENSOR blk.12.attn_q.weight 2 4096 Q4_K
TENSOR blk.12.attn_v.weight 2 4096 Q4_K
TENSOR blk.13.attn_norm.weight 1 4096 F32
TENSOR blk.13.ffn_down.weight 2 14336 Q6_K
TENSOR blk.13.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.13.ffn_up.weight 2 4096 Q4_K
TENSOR blk.13.ffn_norm.weight 1 4096 F32
TENSOR blk.13.attn_k.weight 2 4096 Q4_K
TENSOR blk.13.attn_output.weight 2 4096 Q4_K
TENSOR blk.13.attn_q.weight 2 4096 Q4_K
TENSOR blk.13.attn_v.weight 2 4096 Q6_K
TENSOR blk.14.attn_norm.weight 1 4096 F32
TENSOR blk.14.ffn_down.weight 2 14336 Q4_K
TENSOR blk.14.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.14.ffn_up.weight 2 4096 Q4_K
TENSOR blk.14.ffn_norm.weight 1 4096 F32
TENSOR blk.14.attn_k.weight 2 4096 Q4_K
TENSOR blk.14.attn_output.weight 2 4096 Q4_K
TENSOR blk.14.attn_q.weight 2 4096 Q4_K
TENSOR blk.14.attn_v.weight 2 4096 Q4_K
TENSOR blk.15.attn_norm.weight 1 4096 F32
TENSOR blk.15.ffn_down.weight 2 14336 Q4_K
TENSOR blk.15.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.15.ffn_up.weight 2 4096 Q4_K
TENSOR blk.15.ffn_norm.weight 1 4096 F32
TENSOR blk.15.attn_k.weight 2 4096 Q4_K
TENSOR blk.15.attn_output.weight 2 4096 Q4_K
TENSOR blk.15.attn_q.weight 2 4096 Q4_K
TENSOR blk.15.attn_v.weight 2 4096 Q4_K
TENSOR blk.16.attn_norm.weight 1 4096 F32
TENSOR blk.16.ffn_down.weight 2 14336 Q6_K
TENSOR blk.16.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.16.ffn_up.weight 2 4096 Q4_K
TENSOR blk.16.ffn_norm.weight 1 4096 F32
TENSOR blk.16.attn_k.weight 2 4096 Q4_K
TENSOR blk.16.attn_output.weight 2 4096 Q4_K
TENSOR blk.16.attn_q.weight 2 4096 Q4_K
TENSOR blk.16.attn_v.weight 2 4096 Q6_K
TENSOR blk.17.attn_norm.weight 1 4096 F32
TENSOR blk.17.ffn_down.weight 2 14336 Q4_K
TENSOR blk.17.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.17.ffn_up.weight 2 4096 Q4_K
TENSOR blk.17.ffn_norm.weight 1 4096 F32
TENSOR blk.17.attn_k.weight 2 4096 Q4_K
TENSOR blk.17.attn_output.weight 2 4096 Q4_K
TENSOR blk.17.attn_q.weight 2 4096 Q4_K
TENSOR blk.17.attn_v.weight 2 4096 Q4_K
TENSOR blk.18.attn_norm.weight 1 4096 F32
TENSOR blk.18.ffn_down.weight 2 14336 Q4_K
TENSOR blk.18.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.18.ffn_up.weight 2 4096 Q4_K
TENSOR blk.18.ffn_norm.weight 1 4096 F32
TENSOR blk.18.attn_k.weight 2 4096 Q4_K
TENSOR blk.18.attn_output.weight 2 4096 Q4_K
TENSOR blk.18.attn_q.weight 2 4096 Q4_K
TENSOR blk.18.attn_v.weight 2 4096 Q4_K
TENSOR blk.19.attn_norm.weight 1 4096 F32
TENSOR blk.19.ffn_down.weight 2 14336 Q6_K
TENSOR blk.19.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.19.ffn_up.weight 2 4096 Q4_K
TENSOR blk.19.ffn_norm.weight 1 4096 F32
TENSOR blk.19.attn_k.weight 2 4096 Q4_K
TENSOR blk.19.attn_output.weight 2 4096 Q4_K
TENSOR blk.19.attn_q.weight 2 4096 Q4_K
TENSOR blk.19.attn_v.weight 2 4096 Q6_K
TENSOR blk.20.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.20.attn_k.weight 2 4096 Q4_K
TENSOR blk.20.attn_output.weight 2 4096 Q4_K
TENSOR blk.20.attn_q.weight 2 4096 Q4_K
TENSOR blk.20.attn_v.weight 2 4096 Q4_K
TENSOR blk.9.attn_norm.weight 1 4096 F32
TENSOR blk.9.ffn_down.weight 2 14336 Q4_K
TENSOR blk.9.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.9.ffn_up.weight 2 4096 Q4_K
TENSOR blk.9.ffn_norm.weight 1 4096 F32
TENSOR blk.9.attn_k.weight 2 4096 Q4_K
TENSOR blk.9.attn_output.weight 2 4096 Q4_K
TENSOR blk.9.attn_q.weight 2 4096 Q4_K
TENSOR blk.9.attn_v.weight 2 4096 Q4_K
TENSOR blk.20.attn_norm.weight 1 4096 F32
TENSOR blk.20.ffn_down.weight 2 14336 Q4_K
TENSOR blk.20.ffn_up.weight 2 4096 Q4_K
TENSOR blk.20.ffn_norm.weight 1 4096 F32
TENSOR blk.21.attn_norm.weight 1 4096 F32
TENSOR blk.21.ffn_down.weight 2 14336 Q6_K
TENSOR blk.21.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.21.ffn_up.weight 2 4096 Q4_K
TENSOR blk.21.ffn_norm.weight 1 4096 F32
TENSOR blk.21.attn_k.weight 2 4096 Q4_K
TENSOR blk.21.attn_output.weight 2 4096 Q4_K
TENSOR blk.21.attn_q.weight 2 4096 Q4_K
TENSOR blk.21.attn_v.weight 2 4096 Q6_K
TENSOR blk.22.attn_norm.weight 1 4096 F32
TENSOR blk.22.ffn_down.weight 2 14336 Q4_K
TENSOR blk.22.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.22.ffn_up.weight 2 4096 Q4_K
TENSOR blk.22.ffn_norm.weight 1 4096 F32
TENSOR blk.22.attn_k.weight 2 4096 Q4_K
TENSOR blk.22.attn_output.weight 2 4096 Q4_K
TENSOR blk.22.attn_q.weight 2 4096 Q4_K
TENSOR blk.22.attn_v.weight 2 4096 Q4_K
TENSOR blk.23.attn_norm.weight 1 4096 F32
TENSOR blk.23.ffn_down.weight 2 14336 Q4_K
TENSOR blk.23.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.23.ffn_up.weight 2 4096 Q4_K
TENSOR blk.23.ffn_norm.weight 1 4096 F32
TENSOR blk.23.attn_k.weight 2 4096 Q4_K
TENSOR blk.23.attn_output.weight 2 4096 Q4_K
TENSOR blk.23.attn_q.weight 2 4096 Q4_K
TENSOR blk.23.attn_v.weight 2 4096 Q4_K
TENSOR blk.24.attn_norm.weight 1 4096 F32
TENSOR blk.24.ffn_down.weight 2 14336 Q6_K
TENSOR blk.24.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.24.ffn_up.weight 2 4096 Q4_K
TENSOR blk.24.ffn_norm.weight 1 4096 F32
TENSOR blk.24.attn_k.weight 2 4096 Q4_K
TENSOR blk.24.attn_output.weight 2 4096 Q4_K
TENSOR blk.24.attn_q.weight 2 4096 Q4_K
TENSOR blk.24.attn_v.weight 2 4096 Q6_K
TENSOR blk.25.attn_norm.weight 1 4096 F32
TENSOR blk.25.ffn_down.weight 2 14336 Q4_K
TENSOR blk.25.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.25.ffn_up.weight 2 4096 Q4_K
TENSOR blk.25.ffn_norm.weight 1 4096 F32
TENSOR blk.25.attn_k.weight 2 4096 Q4_K
TENSOR blk.25.attn_output.weight 2 4096 Q4_K
TENSOR blk.25.attn_q.weight 2 4096 Q4_K
TENSOR blk.25.attn_v.weight 2 4096 Q4_K
TENSOR blk.26.attn_norm.weight 1 4096 F32
TENSOR blk.26.ffn_down.weight 2 14336 Q4_K
TENSOR blk.26.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.26.ffn_up.weight 2 4096 Q4_K
TENSOR blk.26.ffn_norm.weight 1 4096 F32
TENSOR blk.26.attn_k.weight 2 4096 Q4_K
TENSOR blk.26.attn_output.weight 2 4096 Q4_K
TENSOR blk.26.attn_q.weight 2 4096 Q4_K
TENSOR blk.26.attn_v.weight 2 4096 Q4_K
TENSOR blk.27.attn_norm.weight 1 4096 F32
TENSOR blk.27.ffn_down.weight 2 14336 Q6_K
TENSOR blk.27.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.27.ffn_up.weight 2 4096 Q4_K
TENSOR blk.27.ffn_norm.weight 1 4096 F32
TENSOR blk.27.attn_k.weight 2 4096 Q4_K
TENSOR blk.27.attn_output.weight 2 4096 Q4_K
TENSOR blk.27.attn_q.weight 2 4096 Q4_K
TENSOR blk.27.attn_v.weight 2 4096 Q6_K
TENSOR blk.28.attn_norm.weight 1 4096 F32
TENSOR blk.28.ffn_down.weight 2 14336 Q6_K
TENSOR blk.28.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.28.ffn_up.weight 2 4096 Q4_K
TENSOR blk.28.ffn_norm.weight 1 4096 F32
TENSOR blk.28.attn_k.weight 2 4096 Q4_K
TENSOR blk.28.attn_output.weight 2 4096 Q4_K
TENSOR blk.28.attn_q.weight 2 4096 Q4_K
TENSOR blk.28.attn_v.weight 2 4096 Q6_K
TENSOR blk.29.attn_norm.weight 1 4096 F32
TENSOR blk.29.ffn_down.weight 2 14336 Q6_K
TENSOR blk.29.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.29.ffn_up.weight 2 4096 Q4_K
TENSOR blk.29.ffn_norm.weight 1 4096 F32
TENSOR blk.29.attn_k.weight 2 4096 Q4_K
TENSOR blk.29.attn_output.weight 2 4096 Q4_K
TENSOR blk.29.attn_q.weight 2 4096 Q4_K
TENSOR blk.29.attn_v.weight 2 4096 Q6_K
TENSOR blk.30.attn_norm.weight 1 4096 F32
TENSOR blk.30.ffn_down.weight 2 14336 Q6_K
TENSOR blk.30.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.30.ffn_up.weight 2 4096 Q4_K
TENSOR blk.30.ffn_norm.weight 1 4096 F32
TENSOR blk.30.attn_k.weight 2 4096 Q4_K
TENSOR blk.30.attn_output.weight 2 4096 Q4_K
TENSOR blk.30.attn_q.weight 2 4096 Q4_K
TENSOR blk.30.attn_v.weight 2 4096 Q6_K
TENSOR blk.31.ffn_gate.weight 2 4096 Q4_K
TENSOR blk.31.ffn_up.weight 2 4096 Q4_K
TENSOR blk.31.attn_k.weight 2 4096 Q4_K
TENSOR blk.31.attn_output.weight 2 4096 Q4_K
TENSOR blk.31.attn_q.weight 2 4096 Q4_K
TENSOR blk.31.attn_v.weight 2 4096 Q6_K
TENSOR output.weight 2 4096 Q6_K
TENSOR blk.31.attn_norm.weight 1 4096 F32
TENSOR blk.31.ffn_down.weight 2 14336 Q6_K
TENSOR blk.31.ffn_norm.weight 1 4096 F32
TENSOR output_norm.weight 1 4096 F32
